DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(TAFGB);7(TAFBB);8(TAFBC);9(SKC)
2020-10-11 15:30:00;72;30;160;0;0;0;0;0;0
2020-10-11 15:45:00;92;32;143;1;2;0;0;0;0
2020-10-11 16:00:00;112;39;139;0;0;0;0;0;0
2020-10-11 16:15:00;111;44;153;0;0;0;0;0;0
2020-10-11 16:30:00;105;37;133;1;1;0;0;0;0
2020-10-11 16:45:00;105;42;166;3;3;0;0;0;0
2020-10-11 17:00:00;116;40;165;0;0;0;0;0;0
2020-10-11 17:15:00;93;53;182;0;0;0;0;0;0
2020-10-11 17:30:00;97;32;182;2;2;1;0;0;0
2020-10-11 17:45:00;94;36;182;1;1;0;0;0;0
2020-10-11 18:00:00;118;35;142;0;0;0;0;0;0
2020-10-11 18:15:00;95;37;154;1;1;0;0;0;0
2020-10-11 18:30:00;80;33;167;1;1;1;0;0;0
2020-10-11 18:45:00;92;30;140;0;0;1;0;0;0
2020-10-11 19:00:00;101;38;121;0;0;0;0;0;0
2020-10-11 19:15:00;82;38;137;0;0;0;0;0;0
2020-10-11 19:30:00;76;32;114;2;1;0;0;0;0
2020-10-11 19:45:00;74;29;105;1;1;0;0;0;0
2020-10-11 20:00:00;56;29;84;2;2;0;0;0;0
2020-10-11 20:15:00;57;21;80;1;1;0;0;0;0
2020-10-11 20:30:00;51;17;94;0;0;0;0;0;0
2020-10-11 20:45:00;57;33;68;0;0;0;0;0;0
2020-10-11 21:00:00;56;22;81;1;1;0;0;0;0
2020-10-11 21:15:00;39;13;56;1;1;0;0;0;0
2020-10-11 21:30:00;50;18;56;2;2;0;0;0;0
2020-10-11 21:45:00;31;11;43;1;1;0;0;0;0
2020-10-11 22:00:00;35;15;48;1;1;0;0;0;0
2020-10-11 22:15:00;23;7;44;2;2;0;0;0;0
2020-10-11 22:30:00;32;11;48;1;1;0;0;0;0
2020-10-11 22:45:00;24;10;40;1;1;0;0;0;0
2020-10-11 23:00:00;30;13;22;1;1;0;0;0;0
2020-10-11 23:15:00;11;6;14;0;0;0;0;0;0
2020-10-11 23:30:00;9;3;23;0;0;0;0;0;0
2020-10-11 23:45:00;13;5;13;1;1;0;0;0;0
