DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(MPF2B01);7(MPF2B02);8(MPF2B03);9(MPF2B04);10(MPF2B05);11(MPF2B06);12(MPF2B07);13(MPF2B08);14(MPF2B09);15(MPF2B10);16(MPF2B11);17(MPF2B12);18(MPF2B13);19(MPF2B14)
2019-10-19 20:15:00;80;68;5;84;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 20:30:00;69;59;2;48;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 20:45:00;80;50;2;41;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 21:00:00;64;46;1;39;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 21:15:00;46;28;1;27;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 21:30:00;66;35;8;41;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 21:45:00;67;53;18;48;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 22:00:00;59;59;44;63;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 22:15:00;46;30;28;33;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 22:30:00;49;44;6;42;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 22:45:00;57;35;0;29;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 23:00:00;57;45;1;23;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 23:15:00;48;28;1;25;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 23:30:00;42;28;1;23;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 23:45:00;40;28;2;27;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0
